no,Nama Perusahaan,Alamat,Telepon,Komoditi
23984,"PUTRA BHAKTI, UD","Jl. Kokrosono No. 45, Semarang, Jawa Tengah",024 - 354714,Garam Beryodium
23985,"PUTRA BHINEKA PERKASA, PT","Jl. Pulau Moyo No. 5, Denpasar, Bali",0361 - 720589,Kopi Bubuk
23986,"PUTRA BINTANG KHARISMA ,","Jl. Roda Pembangunan, Bogor, Jawa Barat",,Spring Bed
23987,"PUTRA BINTANG KHARISMA, PT","Jl. Roda Pembangunan No. 28 Rt. 01/05, Bogor, Jawa Barat",,Springbed
23988,"PUTRA BINTANG LIMA, PT","Jl. Raya Penggilingan Ko. Aneka Elok No. 44 Rt. 002/007, E-ma, Jakarta Timur, DKI Jakarta",021 - 228594,Topi Baret
23989,PUTRA BINTANG MINAHASA,"Desa Kolongan, Minahasa Utara, Sulawesi Utara",,Kursi Tempat Tidur Dan Busa
23990,"PUTRA BINTANG SAMARINDA, PT","Jl. Poros Bontang-samarinda No. 18, Samarinda, Kalimantan Timur",0541 - 708268,Spring Bed
23991,"PUTRA BINTANG TIMUR LESTARI, PT","Jl. Raya Lamongan - Gresik, Lamongan, Jawa Timur",,Furniture
23992,"PUTRA BORNEO LESTARI, PT","Jl. Gubernur Subarjo Km. 3 No. 9, Banjarmasin, Kalimantan Selatan",,Springbed
23993,PUTRA BUANA WOOD INDUSTRY/ PUTRA BUAN,"Jl. Raya Smg Demak Km. 9,6, Demak, Jawa Tengah",,Kayu Olahan
23994,"PUTRA BUNGSU MAKMUR, PT","Jl. Raya Balti (balamoa-kedungjati) Km. 2, Tegal, Jawa Tengah",0283 - 344800,Sparepart Alat Berat
23995,"PUTRA DAYA TIRTA KENCANA, PT","Jl. Jambe 15, Sidoarjo, Jawa Timur",896241,Sandal Plastik Dari Daur Ulang
23996,"PUTRA DEWATA, PT","Jl. Tapos Km.  1, Bogor, Jawa Barat",,Audio Rak Tv Dari Kayu
23997,"PUTRA DJAYA WIDJAJA, CV","Jl. Urip Sumoharjo No.12a , Pasuruan, Jawa Timur",0343 - 631022,Tembakau Iris (tis)
23998,"PUTRA FAJAR, CV","Gg. Madisan Km. 13,2, Deli Serdang, Sumatera Utara",061 - 794043,Kerupuk Jajanan
23999,"PUTRA FILAR SEJATI, PT","Kp Tenjo Ayu, Sukabumi, Jawa Barat",,Pakaian Jadi
24000,"PUTRA FLORA RIMBA TANI, PT","Jl. Industri Dusun 2, Deli Serdang, Sumatera Utara",,Kayu Moulding Rambung
24001,"PUTRA GANDA, PT","Kampung Nagrog Pamoyanan Km. I, Bogor, Jawa Barat",0251 - 821297,Bemper Mobil Dari Fiber
24002,"PUTRA HARAPAN, UD","Jl. Raya Puger 108, Jember, Jawa Timur",0336 - 721271,Beras
24003,"PUTRA HATAM, PT","Kp. Crewed, Tangerang, Banten",021 - 596913,Batako Pres
24004,PUTRA HATIM MANDIRI PT,"Jl. Kruing 2 Kawasan Delta Silicon 1, Bekasi, Jawa Barat",,Logam Dasar
24005,"PUTRA HK PERKASA, CV","Jl. Raya Deandels Desa Wadeng, Gresik, Jawa Timur",,Pupuk Dolomite
24006,"PUTRA HM, UD","Dusun Kradenan, Tuban, Jawa Timur",,Ikan Olahan
24007,"PUTRA HS, UD (PINDANG PUJIANTO)","Desa Karanganyar, Rembang, Jawa Tengah",,Ikan Pindang
24008,"PUTRA IMPIAN , UD","Jati Tengah Lor , Dsn, Pasuruan, Jawa Timur",0343 - 632191,Kapuk Halus
24009,PUTRA INDAH JAYA,"Jl. Pangkalan No. 5-a, Bandung, Jawa Barat",,Textile
24010,PUTRA INDO PERKASA ,"Jl. Perusahaan Dusun Losawi, Malang, Jawa Timur",341 - 471779,Pakaian Jadi
24011,"PUTRA INDO PERKASA INDUSTRI, PT","Blok C 10/i Kawasan Industri Hyundai, Bekasi, Jawa Barat",021 - 897264,Aspal Imying Plant Pencacah Batu
24012,"PUTRA JADI JAYA, CV","Jl. Tambak Oso Wilangon Madya 8-10, Surabaya, Jawa Timur",,Plastik
24013,"PUTRA JARUM MAS MANDIRI, PT","Jl. Mekarwangi No. 2 Pabuaran Tumpeng, Banten, Banten",021 -,Closet Jongkok
24014,PUTRA JATIWANGI,"Blok Cangkuang, Majalengka, Jawa Barat",,Morando Glazur
24015,PUTRA JAYA,"Desa Solokan Jeruk, Bandung, Jawa Barat",,Kain Sarung
24016,PUTRA JAYA,"Jl. Mt Haryono Km. 66,3, Tulungagung, Jawa Timur",0355 - 321152,Mie Sohun
24017,PUTRA JAYA,"Sentul Rw. 2/ Rt. 7, Sidoarjo, Jawa Timur",,Rokok Kretek
24018,"PUTRA JAYA , UD","Dusun Krasak, Wonosobo, Jawa Tengah",,Kayu Material
24019,"PUTRA JAYA ADI SENTOSA, PT","Jl. Joho 6, Sidoarjo, Jawa Timur",031 - 891283,Cat
24020,"PUTRA JAYA FOODS INDUSTRIES, PD","Jl. Ry. Pandeglang No.88 Km. 5, Serang, Banten",0254 - 250818,"Kecap, Saus, Cuka"
24021,"PUTRA JAYA KASUR  GAJAH, PT","Jl. Raya Curug Wetan Rt. 01/01 No. 5, Tangerang, Banten",021 - 598015,Kasur
24022,PUTRA JAYA KREASI GARMENT PT ,"Jl. Komplek Pakuwon, Jakarta Barat, DKI Jakarta",,Jasa Konveksi
24023,"PUTRA JAYA PRATAMA MANDIRI, PT","Jl. Peta Utara No. 9, Jakarta Barat, DKI Jakarta",021 - 540292,Percetakan
24024,"PUTRA JAYA, CV","Jl. Kebon Agung 119, Sidoarjo, Jawa Timur",031 - 883271,"Tangki, Screw Silo"
24025,"PUTRA JAYA, UD","Jl. Sekata Dusun 5, Langkat, Sumatera Utara",,Daun Nipah
24026,"PUTRA JAYATAMA SAMUDERA, PT","Jl. Kema 1, Minahasa Utara, Sulawesi Utara",,Ikan Beku
24027,"PUTRA JELITA, CV","Komp. Pondok  Cipta Mas, Cimahi, Jawa Barat",,Kerudung
24028,"PUTRA KARANGETANG, PT","Desa Popontelan, Minahasa Selatan, Sulawesi Utara",,Tepung Kelapa
24029,"PUTRA KARYA PEMBINA, PT","Parakan, Purworejo, Jawa Tengah",,Batu Pecahan
24030,"PUTRA KEMAS MAKMUR, PT","Jl. Arjuna No.54, Jawa Tengah, Jawa Tengah",0298 -,Botol Plastik Untuk Kosmetik
24031,"PUTRA KERITANG, PT","Desa Keritang, Indragiri Hilir, Riau",,Cpo (crude Palm Oil)
24032,PUTRA KHATULISTIWA JAYA PT,"Jl. Soekarno Hatta Komp Sentral Niaga, Pekanbaru, Riau",,Pengolahan Kayu Lapis
24033,PUTRA KREASINDO GARMENT PT,"Kayu Besar 3 Jalan, Jakarta Barat, DKI Jakarta",,Pakaian
24034,"PUTRA KUSUMA ABADI, PT","Jl. Raya Cupat Desa Kelabat, Bangka Barat, Kepulauan Bangka Belitung",,Kaolin
24035,"PUTRA LINGGA JAYA, CV","Dusun Sirah Cipelang, Sumedang, Jawa Barat",0261 - 206015,Mebel
24036,PUTRA MAJU JAYA,"Dusun Mlagi, Sidoarjo, Jawa Timur",,Rokok
24037,PUTRA MAKMUR ABADI,"Jl. Jababeka Xvii B Blok U 7b Kawasan Industri Jababeka, Bekasi, Jawa Barat",,Barang Dari Plastik
24038,"PUTRA MAKMUR ABADI, CV/ PT. PUTRA ALBA","Jl. Raya Wonosobo Km. 2 Catgawen, Ds.caturanum, Temanggung, Jawa Tengah",,Wood Working
24039,"PUTRA MAKMUR SEJAHTERA, CV","Dukuh Pinggir, Sukoharjo, Jawa Tengah",0271 - 302158,Pakaian Anak
24040,PUTRA MANDIRI,"Blok Caringin Rt. 003/ 002, Majalengka, Jawa Barat",,Genteng
24041,PUTRA MANDIRI,"Jl. P Sudirman 66, Malang, Jawa Timur",0341 - 879447,Rokok
24042,PUTRA MANDIRI (INDUSTRI SEPATU KULIT),"Jl. Raya By Pass, Mojokerto, Jawa Timur",390041,Sepatu
24043,"PUTRA MANDIRI , UD","Kedungrejo, Banyuwangi, Jawa Timur",813313,Kerupuk Ikan
24044,"PUTRA MANDIRI INTI PACK, PT","Jl. Desa Watesari, Sidoarjo, Jawa Timur",031 - 898602,Flexible Packaging
24045,"PUTRA MANDIRI JAYA, UD","Bogoharjo, Rembang, Jawa Tengah",,Ikan Kering
24046,PUTRA MANDIRI MAKMUR,"Dukuh Layur Rt. 01 Rw. 04, Gedong Mulyo, Rembang, Jawa Tengah",0295 - 605324,Daging Rajungan
24047,"PUTRA MANDIRI PRITINDO, PT","Jl. Kamal Raya 88, Jakarta Barat, DKI Jakarta",021 - 555002,Percetakan
24048,PUTRA MANDIRI UJANG NURDIN,"Perum Abdi Negara I Cidadap, Garut, Jawa Barat",,Bata Merah Pres
24049,"PUTRA MANDIRI, CV","Jl. Perintis Dusun 18, Asahan, Sumatera Utara",,Terasi
24050,"PUTRA MANDIRI, CV","Jl. Kutilang Lk 6, Tebing Tinggi, Sumatera Utara",,Kayu Olahan
24051,"PUTRA MANDIRI, CV","Dusun Bali Darme, Lampung Selatan, Lampung",,Beras
24052,"PUTRA MANDIRI, CV","Jalan Raya Pik, Jakarta Timur, DKI Jakarta",4600454,Mold (cetakan Sepatu)
24053,"PUTRA MANDIRI, CV","Dukuh Sidorejo, Mojolegi, Boyolali, Jawa Tengah",,Papan Kayu Karet
24054,"PUTRA MANDIRI, UD","Desa Kedung Rejo, Sidoarjo, Jawa Timur",813313,Kerupuk Ikan
24055,"PUTRA MANDIRI, UD/ PUJI SURYA INDAH","Jl. Raya Sumengko Km. 31,5, Gresik, Jawa Timur",031 - 897279,Kopi Bubuk
24056,"PUTRA MANDIRI,UD","Dusun Klampok Rt. 02 Rw. 11, Banjarnegara, Jawa Tengah",,Bulu Mata Palsu
24057,"PUTRA MAS AGRO SEJAHTERA, PT","Jl. Metal 131, Medan, Sumatera Utara",,Barang Barang Konstruksi Dari Besi
24058,PUTRA MAS SEJAHTERA,"Jl. Raya Karangpandan 1, Malang, Jawa Timur",,Rokok Skt
24059,"PUTRA MASA DEPAN, PT","Desa Plosoharjo, Nganjuk, Jawa Timur",,Rokok Kretek Dan Filter
24060,PUTRA MASTER MULYA,"Jabon , Dsn, Tulungagung, Jawa Timur",812340,Rokok Kretek
24061,"PUTRA MATARAM ECI, PT","Jl. Surowongso 399, Sidoarjo, Jawa Timur",031 - 891488,Cat
24062,"PUTRA MATARAM ESTETIKA COATING INT, PT","Surowongso 399 , Jldepan Maspion Ii1,5 Km. , Sidoarjo, Jawa Timur",,Wood Furniture
24063,"PUTRA MEGAH PURNAMA, PT","Pergudangan Kosambi Permai Blok E 18-61, Tangerang, Banten",,Ban Vulkanisir
24064,PUTRA MELATI,"Blok Caringin, Majalengka, Jawa Barat",,Genteng Press Tanah Liat
24065,"PUTRA MULIA, CV","Desa Sei Rajo Pinang Lombang, Labuhan Batu Utara, Sumatera Utara",,Palet Kayu
24066,"PUTRA MULYA, CV","Desa Damuli Perkan, Sumatera Utara, Sumatera Utara",,Kayu Palet
24067,"PUTRA MUNA, UD (SUROSO)","Dukuh Rembangan, Rembang, Jawa Tengah",81325412826,Pindang Ikan Layang
24068,"PUTRA NASACO, CV","Gembong Selatan Gg. Baru, Pekalongan, Jawa Tengah",,Pemutihan Kain Kasa
24069,"PUTRA NUGRAHA, CV","Jl. Merapi Raya 17, Surakarta, Jawa Tengah",0271 - 855427,Percetakan Buku
24070,"PUTRA NUGRAHA,CV","Desa Triyagan Rt. 01 Rw. 06, Sukoharjo, Jawa Tengah",0271 - 851577,Buku Pelajaran
24071,"PUTRA NUSANTARA MANDIRI, PT","Jl. Industri No. 12 Blok A. 28, Sidoarjo, Jawa Timur",,Olie
24072,"PUTRA NUSANTARA,  PT","Jl. Mayjen Sutoyo No.160, Bandar Lampung, Lampung",,Pengolahan Arang
24073,"PUTRA PACITAN INDONESIA SEJAHTERA, PT","Jl. Dewi Sartika No.20 A, Pacitan, Jawa Timur",0357 - 886464,Jasa Pelintingan Rokok Kretek
24074,PUTRA PANCING INDONESIA (ANTHONY CHAND,"Desa Kalisalak Dukuh Bantongan, Batang, Jawa Tengah",,Mata Kail
24075,"PUTRA PATRIA ADIKARSA, PT","Jl. Pahlawan Km. 1 No. 74, Kulon Progo, D.I. Yogyakarta",0274 - 774717,Sigaret Kretek Tangan (jasa Pelintingan)
24076,"PUTRA PERDANA FURNITURE, CV","Dusun Krajan Rt. 02 Rw. 02, Kendal, Jawa Tengah",,Spring Bed
24077,PUTRA PERKASA,"Jl. Kh Khozin 36 Desa Siwalan Panji, Sidoarjo, Jawa Timur",031 - 896371,Pengupasan Kacang Tanah
24078,"PUTRA PILE INDAH, PT","Jl. Raya Inti Blok C5 No.1 Kawasan Biie Hyundai, Bekasi, Jawa Barat",021 - 897225,Kain Bahan Boneka
24079,"PUTRA PILIHAN PERKASA, PT","Jl. Raya Dayeukolot Km. 6,7 No.173, Bandung, Jawa Barat",,Pakaian Jadi
24080,"PUTRA PRASENDO BERJAYA , P","Jl. Wibawa Mukti Ii, Bekasi, Jawa Barat",,Water Slide
24081,"PUTRA PRATAMA PERSADA, PT","Jl Pangalengan Kp Babakan Desa, Bandung, Jawa Barat",,Pakaian Jadi 
24082,"PUTRA PRIMA SENTOSA, PT","Jl. Pandan Landung No.44, Malang, Jawa Timur",0341 -,Lembaran Semen Bergelombang Simetris
24083,"PUTRA RACHINDO SEJAHTERA, PT","Jl. Segoro Madu Ii/3, Gresik, Jawa Timur",031 - 397016,Furniture
24084,"PUTRA RAHMAN, UD","Jl. Lingkungan Geres Lauq, Lombok Timur, Nusa Tenggara Barat",,Batu Apung Bersih
24085,PUTRA REDO,"Jl. Raya Curup- Lubuk Linggau, Rejang Lebong, Bengkulu",812676,Batu Bata
24086,"PUTRA REJEKI, UD (MUNARDI)","Desa Purworejo Rt. 05 Rw. 02, Rembang, Jawa Tengah",0813 - 901200,Pengeringan Ikan
24087,PUTRA SAHABAT,"Dusun Gareumpay, Ciamis, Jawa Barat",,Kerupuk
24088,"PUTRA SAHABAT TEXTILE, PT (PUSATEX)","Jl. Desa Watusalam, Pekalongan, Jawa Tengah",0285 - 441797,Sarung Palekat
24089,PUTRA SAMUDRA,"Pesisir Dsn, Situbondo, Jawa Timur",0338 - 674241,Ikan Pindang
24090,"PUTRA SAMUDRA, UD","Dusun Sampangan, Banyuwangi, Jawa Timur",,Ikan Beku
24091,PUTRA SEJAHTERA MANDIRI VULKANISIR PT,"Tanjung Morawa, Deli Serdang, Sumatera Utara",,Vulkanisir Ban
24092,"PUTRA SEJAHTERA, UD","Dusun Temon, Jombang, Jawa Timur",856461,Sepatu Setengah Jadi/berbahan Imitasi S
24093,"PUTRA SEJATI, CV","Dusun Kemiri, Wonosobo, Jawa Tengah",,Balken
24094,"PUTRA SELANG MADIRI JAYA , PT","Kampung Selang Jati, Bekasi, Jawa Barat",,Genteng
24095,"PUTRA SETRA/SUKA SETRA, PT","Jl. Sudirman No. 28, Garut, Jawa Barat",0262 - 233860,Kulit Bahan Sepatu
24096,PUTRA SRI MULYA PT,"Kp Sayang, Bandung, Jawa Barat",,Barang Barang Industri
24097,"PUTRA SULTRA SAMUDRA, PT","Jl. Samudra No.1 Komp. Pps, Kendari, Sulawesi Tenggara",0401 - 300784,Docking/reparasi Kapal
24098,"PUTRA SULUNG MAKMUR METAL CASTINDO, PT","Dukuh Besole, Klaten, Jawa Tengah",,Spare Part Mesin
24099,"PUTRA SUMATRA, CV","Jl. Sadang Sekekukumbung Rt. 04/02, Bandung, Jawa Barat",,Kue Basah
24100,"PUTRA SUMBER ALAM, PB","Jl. Jagapura, Cirebon, Jawa Barat",,Beras
24101,"PUTRA SUMBER JATI, CV","Jl. Raya Menganti Ds.sidomulyo, Gresik, Jawa Timur",791301,Kusen Dan Daun Pintu
24102,"PUTRA SUMBER KIMINDO, PT","Desa Sarang Burung, Muaro Jambi, Jambi",,Formaldehyde
24103,"PUTRA SUMBER MAKMUR, CV","Jl. Raya Candimas Km. 25, Lampung Selatan, Lampung",0721 - 91469,Kerupuk
24104,"PUTRA SUMBER UTAMA TIMBER, PT","Desa Sarang Burung, Muaro Jambi, Jambi",0741 - 23972,Plywood
24105,"PUTRA TAMA JAYA, CV","Jl. Raya Parakan-wonosobo Km. 2, Temanggung, Jawa Tengah",0293 - 598724,Plywood
24106,PUTRA TAMBAK REJO,"Kecapi Rt. 03 Rw. 01, Jepara, Jawa Tengah",,Furniture
24107,PUTRA TARO PALOMA PT,"Jl. Pancasila Iv Cicadas, Bogor, Jawa Barat",,Food (snack)
24108,"PUTRA TARO PALOMA, PT","Jl. Pancasila Iv Km. 9 Rt. 02/13, Bogor, Jawa Barat",,Snack Taro
24109,"PUTRA TEDJA SAMPURNA, PT","Jl. Raya Arjosari 67, Pasuruan, Jawa Timur",0343 -,Baju Dan Celana
24110,"PUTRA TEMU REJEKI , UD","Raya Belung , Jl, Malang, Jawa Timur",341 - 787903,Beras
24111,"PUTRA TIMUR INDONUSA, PT","Jl. Manyar Ii Rt. 002/15 No.35, Jakarta Barat, DKI Jakarta",021 - 555144,Sol Sandal Sepatu
24112,"PUTRA TOOLSINDO, PT","Jl. Industri Selatan Xi Blok Ee No. 12a Kawasan Indutri Jaba, Bekasi, Jawa Barat",,Jasa Wire Cut
24113,PUTRA TRESNA,"Jl. Raya Deandles Brondong, Lamongan, Jawa Timur",,Ikan Pindang Layang
24114,"PUTRA TUNAS SUBUR, PT","Jl. Raya Pacitan Ponorogo  Dusun Krajan Kulon, Pacitan, Jawa Timur",,Kayu Lapis (plywood)
24115,Putra Tunggal (Sinar Abadi),"Dusun Pamongkolan, Jawa Barat, Jawa Barat",,Aneka Kue Kering
24116,"PUTRA TUNGGAL, CV","Jl. Poros Kariango Dusun Borongloe, Maros, Sulawesi Selatan",611788,Rotan Polis
24117,"PUTRABINTANG LIMA, PT","Jl.  Taman Pulo Indah, Jakarta Timur, DKI Jakarta",,Topi Baret Tni/polri
24118,"PUTRASEAN RUBBER INDUSTRI, PT","Jl. Raya Mastrip 17b, Surabaya, Jawa Timur",031 - 766120,Karet Gelang
24119,PUTRI CHANIAGO,"Jl. Imam Bonjol, Payakumbuh, Sumatera Barat",,Kerupuk Karak Kaliang
24120,"PUTRI DIANA, UD","Desa Karobelan, Jombang, Jawa Timur",0321 - 715383,Sepatu Harian
24121,PUTRI DUYUNG,"Jl. Raya Padaharja Km. 5 (pantura Tegal - Pemalang), Tegal, Jawa Tengah",,Kerupuk Ikan Tengiri
24122,"PUTRI GELORA JAYA, PT","Jl. Ngasinan No.9, Gresik, Jawa Timur",,Kemasan (packaging)
24123,"PUTRI HASRI LADENA, PT","Kp Babakan, Bekasi, Jawa Barat",,Gulungan Kabel
24124,PUTRI INDAH PERTIWI ,"Godang, Wonogiri, Jawa Tengah",,Batu Kapur
24125,"PUTRI INDAH, PT","Jl. Pelabuhan Perikanan Samudera Belawan No. 8, Medan, Sumatera Utara",,Ikan Beku
24126,"PUTRI INDAH, UD","Jl. Daleman Raya, Demak, Jawa Tengah",,Sarung Tangan Golf
24127,"PUTRI INTI LESTARI (PUTRITEX), PT","Jl. Raya Laswi No. 101, Bandung, Jawa Barat",,Georgette Fabrics
24128,PUTRI JAYA,"Desa Cicadas Jatiwangi Blok Cangkuang, Jawa Barat, Jawa Barat",,Genteng
24129,PUTRI JAYA,"Kampung Suka Senang, Cikampek Utara, Karawang, Jawa Barat",,Boneka
24130,PUTRI JAYA,"Dusun Sebani Rt. 04 Rw. 02, Jombang, Jawa Timur",,Kerupuk Uyel
24131,"PUTRI JAYA, CV","Jl. Ir. Sutami Komp. Pergudangan Tamalanrea Blok E3, Makassar, Sulawesi Selatan",,Rumput Laut Kering
24132,"PUTRI KEMALA ""JONI""","Gunung Kasih, Tanggamus, Lampung",,Kapur Mild
24133,"PUTRI KEMBAR JAYA, UD","Desa Muncarn Kedungrejo, Banyuwangi, Jawa Timur",0333 - 593600,Ikan Laut Beku
24134,PUTRI LESTARI,"Dukuh Wirokrejan, Sragen, Jawa Tengah",0271 - 793643,Batik Halus
24135,PUTRI LESTARI,"Jl. Astina, Br. Wanasari Kelod, Desa Warnasari, Jembrana, Bali",878602,Bakul
24136,"PUTRI PANDA, PT","Dusun Melikan Rt. 01 Rw. 10, Jawa Timur, Jawa Timur",0355 -,Kacang Atom/sanghai
24137,"PUTRI SAKTI MAHKOTA KRESNO, PT","Jl. Sondaan No. 21, Surakarta, Jawa Tengah",,Kemeja
24138,"PUTRI SALJU, PT","Tegalrejo Rt. 03/11,  Dagen, Karanganyar, Jawa Tengah",,Es Batu
24139,PUTRI SARI KIMIA NUSA PT,"Jl. Mercedes Benz, Bogor, Jawa Barat",,Herbisit (slash)
24140,"PUTRI TUNGGAL, PD","Kampung Bengkeng Umbul, Serang, Banten",878716,Pakaian Jadi
24141,"PUTRI TUNGGAL, UD","Dusun Karanganyar Desa Bedono, Semarang, Jawa Tengah",,Palet
24142,"PUTRO GADING , UD","Jl. Kyai Sepuh Gg V No. 2, Rt.2.rw.6, Pasuruan, Jawa Timur",812175,Kursi Kayu
24143,"PUTRO KINASIH/PABRIK JAMU , PT","Cemani, Sukoharjo, Jawa Tengah",,Jamu
24144,PUYUH PLASTIK INDAH PT,"Rungkut Industri 2/41 A, Surabaya, Jawa Timur",31 - 8410851,Tali Rafia
24145,PY ATLANTIC OCEAN PAINT,"Jl. Petemon Kali 58, Surabaya, Jawa Timur",,Cat
24146,"PYRAMID CAHAYA MULIA CHEM & COS FAC, P","Dusun Damean, Pasuruan, Jawa Timur",0343 - 631112,Minyak Rambut
24147,"PYRAMID GENTENG, CV","Jl. Jos Sudarso No.116 Kel Kairagi Weru Lingkungan Iii, Manado, Sulawesi Utara",0431 - 864540,Paving Blok Dan Genteng
24148,"PYRAMID MEGAH SAKTI, PT","Jl. Kima V/e-1, Makassar, Sulawesi Selatan",0411 - 510071,Biskuit
24149,"PYRAMID, NV","Jl. Kalimas Timur 216-218, Surabaya, Jawa Timur",352194,Botol Kaca Kosong
24150,Q-IN TEXTILE INDONESIA,"Jl. Raya Rancaekek Km. 24,15 No. 292 Rt. 02 Rw. 02, Bandung, Jawa Barat",,Textil
24151,QADAR MUKTI,"Kampung Pojok Campaka Mekar, Bandung Barat, Jawa Barat",022 - 921500,Kapur Tembok
24152,QIEFA KITCHEN,"Perum Persada Bhayangkara L-12, Malang, Jawa Timur",,Chizkek Lumer
24153,"QL AGROFOOD , PT","Jl. Pangkalan Vi Rt. 03 Rw. 06 Kel. Ciketing Udik, Bekasi, Jawa Barat",,Pakan Ternak
24154,"QL AGROFOOD, PT","Jl. Pangkalan Vi No. 100 Ciketing Udik, Bekasi, Jawa Barat",,Pakan Terbak Ayam
24155,"QL HASIL LAUT, PT","Jl. Raya Deandles Km. 81,25, Lamongan, Jawa Timur",0322 - 662828,Surimi Dan Fishmeal
24156,"QOMAROH, UD","Campurejo, Gresik, Jawa Timur",,Kerupuk
24157,QORI COLLECTION,"Tb Luwung Rt. 18/04 Adiwerna, Tegal, Jawa Tengah",,Pakaian Jadi
24158,"QRANGE JAYA MAKMUR, PT.","Jl. Kepatihan Industri Ii No. 8, Gresik, Jawa Timur",,Oli Pelumas
24159,QTON INDONESIA GROUP PT,"Jl Medan Lpakam Km 23, Deli Serdang, Sumatera Utara",,Redmix Beton
24160,"QTON INDONESIA, PT","Dusun 9 Air Hitam, Langkat, Sumatera Utara",,Batu Pecahan
24161,"QUALITEAK, CV","Jl. Sultan Hadirin Rt. 01 Rw. 01 Ds Ngabul, Jepara, Jawa Tengah",,Furniture Garden
24162,"QUALITIS, PT","Jl. Pengubugan, Br. Silayukti, Badung, Bali",,Pakaian Jadi
24163,"QUALITY WORK, PT","Dusun Pucung, Lamongan, Jawa Timur",,Furniture
24164,"QUALIVA CIPTA SELARAS, PT","Jl. Damai Pd Jagung Timur No. 33, Tangerang Selatan, Banten",,Mebeul
24165,"QUANTUM TOSAH INTERNATIONAL, PT","Jl. Mutiara Uu No. 3, Bogor, Jawa Barat",,Spring Bed Dan Busa
24166,"QUANTUM TOSAN INTERNASIONAL, PT","Jl. Mutiara Ii No. 30, Bogor, Jawa Barat",0251 - 610325,Spring Bed
24167,"QUANTUM, PT","Jl. Salembaran Jati 128, Tangerang, Banten",021 - 555938,Out Sole Sepatu
24168,QUANTUMPLAST ,"Pangkalan 3 No. 27 Narogong Raya Km. 12, Bekasi, Jawa Barat",,Kemasan Botol Plastik
24169,"QUARTINDO SEJATI FURNIMA, PT","Jl. Raya Semarang Demak Km. 10,5 Sayung, Demak, Jawa Tengah",,Mebel
24170,"QUATRO HAKIMO PERKASA, PT","Jl. Cimuncang No. 66, Bandung, Jawa Barat",022 - 727171,Sepatu Kulit
24171,"QUEEN AVOIR INDUSTRY, PT","Jl. Medan Lubuk Pakam Km. 18,5, Deli Serdang, Sumatera Utara",,Gelas Air Minum Kemasan
24172,QUEEN BAKERY,"Jl. Achmad Yani Kandang Gampang, Banyumas, Jawa Tengah",,"Roti Basah, Kue"
24173,"QUEEN HER CHEMICALS, PT","Jl. Raya Candi 55, Sidoarjo, Jawa Timur",031 - 896591,Lem
24174,QUIRA TERASTIKA PT,"Jl. Bugisan Selatan No. 205 Padokan Lor, Bantul, D.I. Yogyakarta",,Meja Kursi Lemari
24175,"QUIRA TERRASTIKA, PT","Jl. Bugisan Selatan No. 205, Bantul, D.I. Yogyakarta",,"Almari, Meja, Kursi Dari Kayu"
24176,QUMICON INDONESIA,"Jl. Patangpuluhan 29 B, Yogyakarta, D.I. Yogyakarta",,Alat Lalulintas Jalan
24177,"QUNTAI MOULD INDONESIA, PT","Kp Kedung Rt. 002 Rw. 06, Tangerang, Banten",,Cetakan Keramik
24178,"QUTY KURNIA, PT","Jl. Babakan Cikao, Purwakarta, Jawa Barat",0264 - 201303,Mainan Anak
24179,"QVESARIUM ASIA, PT (LANTERA)","Rt. 02/04, Daerah Sentra  Industri Patung Mulyo Harjo, Jepara, Jawa Tengah",0291 - 331842,Mebel
24180,R TIGA WANGI/R3WANGI,"Kp. Astakrama Desa Cikoneng, Bandung, Jawa Barat",,Kerajinan Bilik
24181,"RAAJRATNA WIRE, PT","Tunas Industrial 8e, B A T A M, Kepulauan Riau",,Stainless Steell & High Nickel
24182,"RABBANI ASYSA, CV","Jl. Dipati Ukur No. 44, Bandung, Jawa Barat",,Moslem Clothings
24183,"RABERINDO PRATAMA, PT","Dusun Nglorok, Kendal, Jawa Tengah",0209 - 571351,Karet Sir
24184,"RACER TECHNOLOGY BATAM, PT","Blok F3 No. 8 Komplek Hijrah Batam Centre, Batam, Kepulauan Riau",0778 - 466612,Plastik Untuk Komponen
24185,"RACHBINI LEATHER, PT","Jl. A Yani 1, Sidoarjo, Jawa Timur",031 - 854333,Penyamakan Kulit
24186,"RACHBINI, UD","Jl. Krg Nanggka, Bangkalan, Jawa Timur",031 - 304134,Cakes & Bakery
24187,"RACHMA SARI, UD","Kedunggudel  Rt. 01 Rw. 01, Sukoharjo, Jawa Tengah",,Obat-obat Herbal
24188,"RACHMAT HARIADI, UD.","Dusun Pelemwatu Rt. 04 Rw. 02, Gresik, Jawa Timur",,Mesin Parut Kelapa
24189,RACHMAT PERDANA ADIMETAL PT,"Jl. Pinang Blok F 17 No. 2 Delta Silicon 2, Bekasi, Jawa Barat",,Jasa Proses Templing Dan Cating
24190,"RACHMAT, CV (BAHRUL ULUM)","Ngabul  Rt. 03 Rw. 01, Jepara, Jawa Tengah",,Furniture
24191,"RACKINDO SETARA PERKASA, PT","Jl. Kapuk Kamal Indah I Kav 15-17, Jakarta Barat, DKI Jakarta",021 - 559585,Furniture
24192,"RADALA, UD","Griya Permata B1-9, Sidoarjo, Jawa Timur",,Jahit Baju Nayi
