no,nama file,tahun,tautan
80,Daftar Arsip Foto KIT NTB-NTT (1930),1930,https://anri.go.id//download/daftar-arsip-foto-kit-ntbntt-1930-1633327934
81,Daftar Arsip Foto KIT Maluku (1930),1930,https://anri.go.id//download/daftar-arsip-foto-kit-maluku-1930-1633327908
82,Daftar Arsip Foto KIT Maluku (1930),1930,https://anri.go.id//download/daftar-arsip-foto-kit-maluku-1930-1633327908
83,Daftar Arsip Foto KIT Kalimantan (1930),1930,https://anri.go.id//download/daftar-arsip-foto-kit-kalimantan-1930-1633327885
84,Daftar Arsip Foto KIT Jawa Tengah-Yogyakarta (1930),1930,https://anri.go.id//download/daftar-arsip-foto-kit-jawa-tengahyogyakarta-1930-1633327866
85,Daftar Arsip Foto KIT Jawa Barat (1930),1930,https://anri.go.id//download/daftar-arsip-foto-kit-jawa-barat-1930-1633327812
86,Daftar Arsip Foto KIT Bali (1930),1930,https://anri.go.id//download/daftar-arsip-foto-kit-bali-1930-1633327776
87,Daftar Arsip Foto KIT Aceh (1930),1930,https://anri.go.id//download/daftar-arsip-foto-kit-aceh-1930-1633327755
88,Daftar Arsip Foto Koninklijke Instituut voor Tropen KIT-JAWA TIMUR 1930,1930,https://anri.go.id//download/daftar-arsip-foto-koninklijke-instituut-voor-troepen-kitjawa-timur-1930-1586221679
89,Daftar Arsip Foto Koninklijke Instituut voor Tropen KIT-BATAVIA 1930,1930,https://anri.go.id//download/daftar-arsip-foto-koninklijke-instituut-voor-troepen-kitbatavia-1930-1586221636
90,Daftar Arsip Tekstual Mijnwezen Jilid VI (1921-1940),1921,https://anri.go.id//download/daftar-arsip-tekstual-mijnwezen-jilid-vi-19211940-1630544365
91,Daftar Arsip Tekstual Mijnwezen Jilid III (1915-1926),1915,https://anri.go.id//download/daftar-arsip-tekstual-mijnwezen-jilid-iii-19151926-1630544247
92,Daftar Arsip Microfilm Memorie Van Overgave Seri 1 E,1914,https://anri.go.id//download/daftar-arsip-microfilm-memorie-van-overgave-seri-1-e-1586346521
93,"Daftar Arsip Kartografi Topografie Dienst 1912-1915, 1925, 1942-1946, 1951-1957, 1971-1975",1912,https://anri.go.id//download/daftar-arsip-kartografi-topografie-dienst-19121915-1925-19421946-19511957-19711975-1586219749
94,Daftar Arsip Tekstual Mijnwezen Jilid II (1911-1933),1911,https://anri.go.id//download/daftar-arsip-tekstual-mijnwezen-jilid-ii-19111933-1630544218
95,Daftar Arsip Microfilm Memorie Van Overgave Seri DL,1910,https://anri.go.id//download/daftar-arsip-microfilm-memorie-van-overgave-seri-dl-1586346480
96,Daftar Arsip Tekstual Departement Van Binnenlandsch Bestuur Jilid II 1910-1942,1910,https://anri.go.id//download/daftar-arsip-tekstual-departement-van-binnenlandsch-bestuur-jilid-ii-19101942-1585906835
